deviceID	fromDate	toDate	consumption	userID
1144586020-Overall	7/1/2015 0:17	7/1/2015 0:18	653	38
782435385-Overall	7/1/2015 0:17	7/1/2015 0:18	2197	37
1951210032-Overall	7/1/2015 0:17	7/1/2015 0:18	1029	39
1870305884-Overall	7/1/2015 0:17	7/1/2015 0:18	189	28
1949724277-Overall	7/1/2015 0:17	7/1/2015 0:18	339	25
908983910-Overall	7/1/2015 0:17	7/1/2015 0:18	57	22
1454442161-Overall	7/1/2015 0:17	7/1/2015 0:18	151	21
1741156914-Overall	7/1/2015 0:17	7/1/2015 0:18	1885	24
687157380-Overall	7/1/2015 0:17	7/1/2015 0:18	864	23
331804188-Overall	7/1/2015 0:17	7/1/2015 0:18	333	32
167203295-Overall	7/1/2015 0:17	7/1/2015 0:18	752	29
77863289-Overall	7/1/2015 0:17	7/1/2015 0:18	88	36
1275104184-Overall	7/1/2015 0:17	7/1/2015 0:18	173	35
1275104184-Overall	7/1/2015 0:18	7/1/2015 0:19	170	35
77863289-Overall	7/1/2015 0:18	7/1/2015 0:19	87	36
1949724277-Overall	7/1/2015 0:18	7/1/2015 0:19	334	25
1870305884-Overall	7/1/2015 0:18	7/1/2015 0:19	191	28
782435385-Overall	7/1/2015 0:18	7/1/2015 0:19	2221	37
1144586020-Overall	7/1/2015 0:18	7/1/2015 0:19	653	38
1951210032-Overall	7/1/2015 0:18	7/1/2015 0:19	977	39
167203295-Overall	7/1/2015 0:18	7/1/2015 0:19	777	29
331804188-Overall	7/1/2015 0:18	7/1/2015 0:19	333	32
1454442161-Overall	7/1/2015 0:18	7/1/2015 0:19	157	21
908983910-Overall	7/1/2015 0:18	7/1/2015 0:19	57	22
687157380-Overall	7/1/2015 0:18	7/1/2015 0:19	851	23
1741156914-Overall	7/1/2015 0:18	7/1/2015 0:19	1932	24
1741156914-Overall	7/1/2015 0:19	7/1/2015 0:20	1891	24
687157380-Overall	7/1/2015 0:19	7/1/2015 0:20	855	23
1144586020-Overall	7/1/2015 0:19	7/1/2015 0:20	652	38
782435385-Overall	7/1/2015 0:19	7/1/2015 0:20	2218	37
77863289-Overall	7/1/2015 0:19	7/1/2015 0:20	102	36
1275104184-Overall	7/1/2015 0:19	7/1/2015 0:20	169	35
1870305884-Overall	7/1/2015 0:19	7/1/2015 0:20	185	28
1949724277-Overall	7/1/2015 0:19	7/1/2015 0:20	344	25
908983910-Overall	7/1/2015 0:19	7/1/2015 0:20	60	22
1454442161-Overall	7/1/2015 0:19	7/1/2015 0:20	168	21
1951210032-Overall	7/1/2015 0:19	7/1/2015 0:20	973	39
331804188-Overall	7/1/2015 0:19	7/1/2015 0:20	355	32
167203295-Overall	7/1/2015 0:19	7/1/2015 0:20	806	29
167203295-Overall	7/1/2015 0:20	7/1/2015 0:21	826	29
331804188-Overall	7/1/2015 0:20	7/1/2015 0:21	366	32
1275104184-Overall	7/1/2015 0:20	7/1/2015 0:21	168	35
77863289-Overall	7/1/2015 0:20	7/1/2015 0:21	100	36
687157380-Overall	7/1/2015 0:20	7/1/2015 0:21	851	23
1741156914-Overall	7/1/2015 0:20	7/1/2015 0:21	1897	24
782435385-Overall	7/1/2015 0:20	7/1/2015 0:21	2198	37
1144586020-Overall	7/1/2015 0:20	7/1/2015 0:21	652	38
1951210032-Overall	7/1/2015 0:20	7/1/2015 0:21	976	39
1949724277-Overall	7/1/2015 0:20	7/1/2015 0:21	324	25
1870305884-Overall	7/1/2015 0:20	7/1/2015 0:21	186	28
1454442161-Overall	7/1/2015 0:20	7/1/2015 0:21	167	21
908983910-Overall	7/1/2015 0:20	7/1/2015 0:21	59	22
908983910-Overall	7/1/2015 0:21	7/1/2015 0:22	59	22
1454442161-Overall	7/1/2015 0:21	7/1/2015 0:22	155	21
1741156914-Overall	7/1/2015 0:21	7/1/2015 0:22	1906	24
687157380-Overall	7/1/2015 0:21	7/1/2015 0:22	849	23
331804188-Overall	7/1/2015 0:21	7/1/2015 0:22	333	32
167203295-Overall	7/1/2015 0:21	7/1/2015 0:22	843	29
77863289-Overall	7/1/2015 0:21	7/1/2015 0:22	87	36
1275104184-Overall	7/1/2015 0:21	7/1/2015 0:22	169	35
1870305884-Overall	7/1/2015 0:21	7/1/2015 0:22	188	28
1949724277-Overall	7/1/2015 0:21	7/1/2015 0:22	356	25
1144586020-Overall	7/1/2015 0:21	7/1/2015 0:22	653	38
782435385-Overall	7/1/2015 0:21	7/1/2015 0:22	2205	37
1951210032-Overall	7/1/2015 0:21	7/1/2015 0:22	902	39
1951210032-Overall	7/1/2015 0:22	7/1/2015 0:23	886	39
167203295-Overall	7/1/2015 0:22	7/1/2015 0:23	836	29
331804188-Overall	7/1/2015 0:22	7/1/2015 0:23	331	32
1454442161-Overall	7/1/2015 0:22	7/1/2015 0:23	162	21
908983910-Overall	7/1/2015 0:22	7/1/2015 0:23	59	22
687157380-Overall	7/1/2015 0:22	7/1/2015 0:23	851	23
1741156914-Overall	7/1/2015 0:22	7/1/2015 0:23	1914	24
